Name,Rating,Genre,Release Date,Runtime,Url
Deadpool,76,"Action,Adventure,Comedy",02/12/2016,1h 48m,https://www.themoviedb.org/movie/293660
After Ever Happy,NR,Romance,08/25/2022,1h 59m,https://www.themoviedb.org/movie/744276
Phobias,54,"Horror,Thriller",02/28/2021,1h 25m,https://www.themoviedb.org/movie/793967
Sator,54,Horror,07/21/2019,1h 25m,https://www.themoviedb.org/movie/611651
Spider-Man,72,"Fantasy,Action",05/24/2002,2h 1m,https://www.themoviedb.org/movie/557
Catwoman: Hunted,61,"Animation,Action,Crime",02/08/2022,1h 18m,https://www.themoviedb.org/movie/862491
The Tinder Swindler,71,"Documentary,Crime",02/02/2022,1h 54m,https://www.themoviedb.org/movie/923632
Soul,82,"Animation,Comedy,Fantasy,Family",12/25/2020,1h 41m,https://www.themoviedb.org/movie/508442
Trolls Holiday in Harmony,76,"Animation,Fantasy,Family",11/27/2021,30m,https://www.themoviedb.org/movie/896221
An Egg Rescue,81,"Animation,Comedy",08/12/2021,1h 28m,https://www.themoviedb.org/movie/573164
Jurassic Hunt,50,"Action,Science Fiction,Thriller",08/26/2021,1h 23m,https://www.themoviedb.org/movie/848278
The SpongeBob Movie: Sponge on the Run,76,"Family,Animation,Fantasy,Adventure,Comedy",08/14/2020,1h 35m,https://www.themoviedb.org/movie/400160
"Yes, No, or Maybe Half?",67,"Animation,Drama,Romance",12/11/2020,53m,https://www.themoviedb.org/movie/719088
Swim,75,"Horror,Action",08/13/2021,1h 27m,https://www.themoviedb.org/movie/861057
El Paseo 6,35,Comedy,12/25/2021,1h 37m,https://www.themoviedb.org/movie/920143
Jackass Forever,73,"Action,Comedy,Documentary",02/04/2022,1h 36m,https://www.themoviedb.org/movie/656663
Harry Potter 20th Anniversary: Return to Hogwarts,79,Documentary,01/01/2022,1h 43m,https://www.themoviedb.org/movie/899082
Monster Pets: A Hotel Transylvania Short,75,"Animation,Comedy,Fantasy",04/09/2021,6m,https://www.themoviedb.org/movie/813258
Zone 414,55,"Science Fiction,Thriller,Mystery",09/03/2021,1h 38m,https://www.themoviedb.org/movie/675319
Undisputed III: Redemption,75,"Action,Thriller",05/22/2010,1h 36m,https://www.themoviedb.org/movie/38234
Army of the Dead,63,"Action,Crime,Horror,Thriller",05/14/2021,2h 28m,https://www.themoviedb.org/movie/503736
Misfit #EresOTeHaces,81,Comedy,10/15/2021,0,https://www.themoviedb.org/movie/893941
Harry Potter and the Goblet of Fire,78,"Adventure,Fantasy,Family",11/18/2005,2h 37m,https://www.themoviedb.org/movie/674
The Marksman,70,"Action,Thriller,Crime",01/15/2021,1h 48m,https://www.themoviedb.org/movie/634528
Separation,57,"Horror,Drama",04/30/2021,1h 47m,https://www.themoviedb.org/movie/760195
Ainbo: Spirit of the Amazon,71,"Adventure,Animation,Family,Fantasy",02/09/2021,1h 24m,https://www.themoviedb.org/movie/588921
Percy Jackson & the Olympians: The Lightning Thief,62,"Adventure,Fantasy,Family",02/11/2010,1h 58m,https://www.themoviedb.org/movie/32657
King Richard,80,"Drama,History",11/19/2021,2h 25m,https://www.themoviedb.org/movie/614917
Spirit Untamed,75,"Animation,Adventure,Family,Western",06/04/2021,1h 28m,https://www.themoviedb.org/movie/637693
Narco Sub,67,"Action,Drama,Crime",01/22/2021,1h 33m,https://www.themoviedb.org/movie/706972
Pretty Guardian Sailor Moon Eternal The Movie Part 2,81,"Animation,Action,Adventure,Comedy,Drama,Fantasy,Romance",02/11/2021,1h 20m,https://www.themoviedb.org/movie/784500
Ida Red,59,"Crime,Thriller,Drama,Action",11/05/2021,1h 51m,https://www.themoviedb.org/movie/818192
Shrek,77,"Animation,Comedy,Fantasy,Adventure,Family",05/18/2001,1h 30m,https://www.themoviedb.org/movie/808
Last Shoot Out,64,"Western,Action,Thriller",12/03/2021,1h 26m,https://www.themoviedb.org/movie/887767
